"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"2009-12-20T19:12:05"	"1261336325"	"Silhouettes"	"d1ec32ea-3d54-4c5c-af82-1725158aa0be"	"Swimming with Dolphins"	"0768ad03-4b10-4575-a4e4-15c778cbce40"	"Silhouettes"	"d1ec32ea-3d54-4c5c-af82-1725158aa0be"	"Swimming with Dolphins"	"0768ad03-4b10-4575-a4e4-15c778cbce40"	""	""	""	""
"2009-12-20T19:16:12"	"1261336572"	"Drive My Soul"	"4a848d3a-1921-487c-89c2-7750ff275e1c"	"Lights"	"17840e3b-a98e-4f74-8272-1f5ffd0660ce"	"Drive My Soul"	"4a848d3a-1921-487c-89c2-7750ff275e1c"	"Lights"	"17840e3b-a98e-4f74-8272-1f5ffd0660ce"	""	""	""	""
"2009-12-20T19:17:01"	"1261336621"	"All You Got"	""	"The Spin Cycle"	"458a0fce-df66-4f92-86b3-d8f04c7ba26c"	"All You Got"	""	"The Spin Cycle"	"458a0fce-df66-4f92-86b3-d8f04c7ba26c"	""	""	""	""
"2009-12-20T19:17:05"	"1261336625"	"The Saltwater Room"	"140c69ca-9136-42a7-9a40-910400c8b31f"	"Owl City"	"ad279295-653f-42e1-9aaa-b731df2e78ba"	"The Saltwater Room"	"140c69ca-9136-42a7-9a40-910400c8b31f"	"Owl City"	"ad279295-653f-42e1-9aaa-b731df2e78ba"	""	""	""	""
